"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_ID","gene_ID2","X2","peak_cluster","order_y","tag","order2","segment","gene_ID.y"
1594.3382089739655,4.83146521275103,0.7229947054792925,6.682573435372701,2.347822407740407e-11,3.1515602786568726e-8,"CRO_03G031710.1","CRO-03G031710.1","beta-amylase","8",14,NA,NA,NA,NA
927.9851701898288,4.353151339708964,0.7819647180924064,5.566940859337521,2.5925033418578403e-8,1.535295729067871e-5,"CRO_01G011240.1","CRO-01G011240.1","gamma tonoplast intrinsic protein","8",14,NA,NA,NA,NA
2524.902444366618,4.188982432344903,0.6633780717735457,6.314623003961573,2.708208477957254e-10,2.4786262592576957e-7,"CRO_03G011320.1","CRO-03G011320.1","RING/U-box superfamily protein","8",14,NA,NA,NA,NA
5206.063244210164,3.907839245482642,1.046480245734759,3.734269482305281,1.8826083262998082e-4,0.023991340917751038,"CRO_05G011810.2","CRO-05G011810.2","purine permease","8",14,NA,NA,NA,NA
4301.756195566267,3.8076770708152425,0.5278115396337054,7.214084545134656,5.429801421909522e-13,9.939004693649839e-10,"CRO_07G010070.1","CRO-07G010070.1","purine permease","8",14,NA,NA,NA,NA
8290.748243788708,3.623239577441694,0.54774655545744,6.614810337631088,3.720284131570941e-11,4.681745061823806e-8,"CRO_07G010060.1","CRO-07G010060.1","purine permease","8",14,NA,NA,NA,NA
4561.543694648754,3.5281759656863856,0.8445055284592466,4.177800910460997,2.9434111870641e-5,0.006128603949630698,"CRO_07G015460.1","CRO-07G015460.1","DUF679 domain membrane protein","8",14,NA,NA,NA,NA
1532.1313433541372,3.477792289559598,0.488321723960154,7.121928267609447,1.0642744716063995e-12,1.7857638738162378e-9,"CRO_02G001090.1","CRO-02G001090.1","HXXXD-type acyl-transferase family protein","8",14,"DAT",40,"Late Alkaloid","CRO-02G001090.1"
959.1331218243727,3.2999723141830795,0.6071234237538676,5.43542249412685,5.4666744098358525e-8,2.8966181379485497e-5,"CRO_01G027000.5","CRO-01G027000.5","Tetraspanin family protein","8",14,NA,NA,NA,NA
15492.502732296327,3.2531103866342868,0.5074604786298437,6.4105689479854044,1.4497756895736278e-10,1.4595616754782497e-7,"CRO_04G027110.1","CRO-04G027110.1","cytochrome P450, family 71, subfamily B, polypeptide","8",14,NA,NA,NA,NA
1375.1486208201347,3.1291638957853305,0.7624834439809994,4.103910610108024,4.062244748804783e-5,0.007906920944633881,"CRO_07G016170.2","CRO-07G016170.2","inosine-uridine preferring nucleoside hydrolase family protein","8",14,NA,NA,NA,NA
514.1557933690987,3.1175147179605465,0.44146474105815126,7.061752452728488,1.6441570209515008e-12,2.3646501154898906e-9,"CRO_02G016670.2","CRO-02G016670.2","MLP-like protein","8",14,NA,NA,NA,NA
